id,from_id,from_type,to_id,to_type
1,1,1
2,2,3
3,2,3
4,3,3
5,2,4
6,2,4
7,3,4
8,2,5
9,2,5
10,3,5
11,2,6
12,4,6
13,2,7
14,4,7
15,8,rate_file,5,plan
16,9,index_file,10,rate_file
17,6,plan,10,rate_file
18,7,plan,10,rate_file
19,9,index_file,11,rate_file
20,6,plan,11,rate_file
21,7,plan,11,rate_file
22,9,index_file,12,rate_file
23,6,plan,12,rate_file
24,7,plan,12,rate_file
25,9,index_file,13,rate_file
26,8,plan,13,rate_file
27,9,index_file,14,rate_file
28,8,plan,14,rate_file
